Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2023,Bryan Rust,PIT,R,57,1098.65,19.274561403509,1.42,1.37,0.66,0.71,2.79,60.00,9.23,15.38,1.22,16.22,13.54,10.7,4.92,0.6,1.53,0.98,0.49,0.49,0,0,0.49,1.8,1.53,2.24,3.71,2.4,0.11,0.22,1.82
2023,Byron Froese,VGK,C,16,170.7,10.66875,0,0.35,0.35,0,0.35,25.00,5.98,0.00,0.66,10.54,8.79,6.33,2.81,0.35,2.81,1.41,0.7,0.7,0,0,0.7,0.35,1.76,7.38,7.03,2.81,20.74,16.52,19.56
2023,Cal Clutterbuck,NYI,R,77,925.15,12.014935064935,0.45,0.78,0.52,0.26,1.23,67.86,3.7,12.28,0.49,6.62,5.51,4.28,2.08,0.52,0.71,2.08,0.78,0.71,0,0.06,0.84,1.36,1.69,14.79,3.5,3.5,0.84,1.3,2.55
2023,Cal Foote,N.J,D,4,59.066666666667,14.766666666667,0,1.02,1.02,0,1.02,25.00,0,-,0,1.02,0,1.02,0,0,0,16.25,4.06,3.05,0,1.02,1.02,0,0,3.05,1.02,9.14,0,0,-
2023,Cale Fleury,SEA,D,1,13.5,13.5,0,0,0,0,0,0.00,4.44,0.00,0.12,4.44,4.44,0,0,0,0,0,0,0,0,0,0,0,0,13.33,13.33,0,0,0,-
2023,Cale Makar,COL,D,72,1787.75,24.829861111111,0.64,2.15,0.94,1.21,2.79,58.45,7.35,8.68,0.51,17.35,11.28,5.84,0.77,0.47,1.14,0.47,0.23,0.23,0,0,0.84,1.31,2.22,1.14,0.91,4.5,0,0,-
2023,Caleb Jones,COL,D,23,272.75,11.858695652174,0,1.1,0.66,0.44,1.1,41.67,3.96,0.00,0.19,7.92,5.06,2.42,0.66,0,0.88,1.76,0.88,0.88,0,0,0.22,1.54,0.88,5.72,5.28,5.5,0,0,-
2023,Calen Addison,"MIN, S.J",D,66,1143.45,17.325,0.05,0.84,0.42,0.42,0.89,33.33,4.41,1.19,0.28,10.76,6.03,3.52,0.52,0.16,1,3.25,1,0.84,0,0.16,0.52,0.63,0.73,1.84,2.41,4.04,0,0,-
2023,Callahan Burke,CAR,C,1,7.1,7.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,8.45,0,0,0,0,-
2023,Calle Jarnkrok,TOR,C,52,793.43333333333,15.258333333333,0.76,0.83,0.6,0.23,1.59,45.65,6.96,10.87,0.87,12.63,9.68,8.02,4.16,0.45,1.29,1.36,0.68,0.68,0,0,0.91,0.83,1.21,3.25,5.6,0.98,4.92,5.07,3.72
2023,Calle Rosen,STL,D,6,75.983333333333,12.663888888889,0,0.79,0,0.79,0.79,100.00,3.95,0.00,0.14,8.69,6.32,1.58,0.79,0,0.79,1.58,0.79,0.79,0,0,0,4.74,0,1.58,5.53,5.53,0,0,-
2023,Calvin de Haan,T.B,D,58,964.45,16.628448275862,0.19,0.37,0.12,0.25,0.56,29.03,3.48,5.36,0.12,10.08,5.72,2.24,0.19,0.25,0.87,1.37,0.68,0.68,0,0,0.25,1.43,0.68,5.35,3.42,5.04,0,0,-
2023,Cam Atkinson,PHI,R,67,1094.6333333333,16.337810945274,0.71,0.82,0.27,0.55,1.53,60.87,9.48,7.51,0.95,15.62,12.06,8.55,4.44,0.77,1.7,1.37,0.6,0.55,0.05,0,0.77,1.1,0.93,1.48,1.59,2.47,0.66,0.71,2.63
2023,Cam Fowler,ANA,D,76,1859.3833333333,24.465570175439,0.16,0.94,0.39,0.55,1.1,48.57,3.36,4.81,0.16,7.91,4.58,1.9,0.13,0.06,0.39,0.71,0.35,0.35,0,0,0.13,1.42,0.84,0.9,1.81,3.58,0,0,-
2023,Cam York,PHI,D,78,1755.1,22.501282051282,0.31,0.68,0.17,0.51,0.99,37.66,4.31,7.14,0.29,9.3,6.26,2.87,0.72,0.31,0.82,1.5,0.72,0.72,0,0,0.38,1.03,0.62,2.19,4.82,5.74,0,0,-
2023,Cameron Butler,CBJ,R,1,0.9,0.9,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2023,Cameron Crotty,ARI,D,1,10.05,10.05,0,0,0,0,0,-,0,-,0.1,23.88,11.94,0,0,0,5.97,0,0,0,0,0,0,0,0,23.88,0,11.94,0,0,-
2023,Carl Grundstrom,L.A,R,50,546.85,10.937,0.88,0.44,0.22,0.22,1.32,57.14,10.42,8.42,1,19.42,14.7,10.2,3.73,0.66,2.74,1.32,0.66,0.66,0,0,0.55,1.43,1.1,10.53,5.38,1.76,0.22,0.88,2.19
2023,Carson Meyer,CBJ,R,13,126.26666666667,9.7128205128205,0.48,0.48,0.48,0,0.95,66.67,4.75,10.00,0.68,10.93,7.13,3.8,2.38,0.95,0.95,0.95,0.48,0.48,0,0,0.95,0.95,1.9,17.11,7.13,0.95,0,0,-
2023,Carson Soucy,VAN,D,35,609.4,17.411428571429,0.2,0.39,0.2,0.2,0.59,24.00,2.66,7.41,0.27,7.58,4.92,1.48,0.3,0.1,0.39,0.98,0.49,0.49,0,0,0.79,0.79,0.59,4.23,4.04,5.61,0,0,-
2023,Carter Verhaeghe,FLA,C,75,1346.2666666667,17.950222222222,1.47,1.69,1.07,0.62,3.16,63.96,10.74,13.69,1.26,21.97,14.8,12.17,4.37,0.62,1.92,1.6,0.8,0.8,0,0,0.4,1.65,1.74,2.67,5.21,0.85,1.65,2.05,1.99
2023,Casey Cizikas,NYI,C,65,892.08333333333,13.724358974359,0.54,0.87,0.34,0.54,1.41,77.78,4.64,11.59,0.56,7.87,6.05,4.91,2.69,0.61,0.94,1.48,0.74,0.74,0,0,0.81,1.55,1.41,7.4,5.45,4.1,23,20.18,3.58
2023,Casey Mittelstadt,"BUF, COL",C,75,1341.3833333333,17.885111111111,0.81,1.66,0.85,0.81,2.46,57.89,5.55,14.52,0.62,10.33,7.47,5.59,2.37,0.22,0.85,1.25,0.58,0.58,0,0,0.27,1.74,1.79,0.72,3.8,1.21,22.5,25.18,2.11
2023,Chad Ruhwedel,"NYR, PIT",D,52,660.46666666667,12.701282051282,0.09,0.27,0.09,0.18,0.36,25.00,3.18,2.86,0.09,8.99,4.91,1.45,0.18,0.18,0.36,0.36,0.18,0.18,0,0,0.27,0.55,1.18,7.72,4,4,0,0,-
2023,Chandler Stephenson,VGK,C,72,1330.9833333333,18.48587962963,0.72,1.4,0.77,0.63,2.12,67.14,4.37,16.49,0.49,7.75,6.04,4.73,2.21,0.27,0.27,1.13,0.32,0.23,0.05,0.05,0.86,0.81,1.8,1.67,3.16,1.71,24.57,22.22,2.37
2023,Charlie Coyle,BOS,C,78,1416.35,18.158333333333,1.06,1.4,0.72,0.68,2.46,74.36,6.1,17.36,0.84,10.51,8.73,6.99,4.32,0.64,0.93,1.61,0.8,0.8,0,0,0.93,1.44,1.99,4.66,2.5,2.33,30.59,29.15,2.17
