Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2011,Steven Stamkos,T.B,C,82,1805.6666666667,22.020325203252,1.99,1.23,0.83,0.4,3.22,76.38,10.07,19.80,1.07,17.94,13.69,11.53,4.29,0.63,0.96,2.19,1.1,1.1,0,0,1.36,1.5,1.4,3.62,3.09,1.23,18.54,22.23,1.51
2011,Steven Zalewski,N.J,C,7,73.916666666667,10.559523809524,0,0,0,0,0,-,4.87,0.00,0.23,4.87,4.87,2.44,1.62,0,0,0,0,0,0,0,0.81,0.81,0.81,8.93,4.06,0.81,17.86,17.86,40.59
2011,Stu Bickel,NYR,D,51,532.41666666667,10.43954248366,0,1.01,0.68,0.34,1.01,42.86,2.48,0.00,0.16,6.2,4.62,2.25,0.23,0,0.23,12.17,3.49,2.03,1.35,0.11,2.7,0.9,0.56,7.66,7.21,5.86,0.11,0,11.27
2011,Sven Baertschi,CGY,L,5,55.683333333333,11.136666666667,3.23,0,0,0,3.23,100.00,10.78,30.00,1.02,15.09,11.85,8.62,5.39,1.08,1.08,4.31,2.16,2.16,0,0,0,0,3.23,5.39,4.31,0,0,0,-
2011,T.J. Oshie,STL,R,80,1562.35,19.529375,0.73,1.34,0.92,0.42,2.07,67.50,7.22,10.11,0.75,11.37,9.56,7.37,3.8,0.38,0.61,1.84,0.92,0.92,0,0,1.73,0.54,2.34,4.99,5.53,1.73,0.92,1.11,1.74
2011,TJ Brennan,BUF,D,11,155.33333333333,14.121212121212,0.39,0,0,0,0.39,20.00,5.41,7.14,0.4,13.91,9.66,3.48,0.39,0,0.39,2.32,1.16,1.16,0,0,1.55,0.77,0.39,7.73,5.02,2.32,0,0,-
2011,TJ Brodie,CGY,D,54,889.86666666667,16.479012345679,0.13,0.81,0.2,0.61,0.94,35.00,2.97,4.55,0.14,6.41,4.11,1.62,0.4,0.07,0.34,0.94,0.47,0.47,0,0,0.34,2.9,1.69,2.9,6.27,2.56,0,0,-
2011,TJ Galiardi,"COL, S.J",L,69,900.35,13.048550724638,0.6,0.4,0.13,0.27,1,71.43,7.53,7.96,0.69,13.19,10.13,7.26,2.93,0.53,0.4,3.53,1.53,1.47,0.07,0,0.67,1.07,3.13,7.33,7.46,1.47,5,6.13,2.99
2011,Tanner Glass,WPG,L,78,1046.6,13.417948717949,0.29,0.63,0.34,0.29,0.92,61.54,4.93,5.81,0.41,7.91,6.31,3.73,1.89,0.34,0.29,4.18,1.26,0.8,0.4,0.06,1.03,1.15,0.52,14.1,4.82,2.92,1.66,2.52,2.28
2011,Taylor Chorney,"EDM, STL",D,5,70.716666666667,14.143333333333,0,0,0,0,0,0.00,1.7,0.00,0.16,5.09,3.39,1.7,0.85,0,0.85,0,0,0,0,0,0,2.55,2.55,0,3.39,3.39,0,0,-
2011,Taylor Hall,EDM,L,61,1111.3333333333,18.218579234973,1.46,1.4,0.81,0.59,2.86,72.60,11.18,13.04,1.14,19.38,14.9,10.69,5.4,0.81,0.92,1.94,0.92,0.92,0,0,1.46,3.35,1.89,2.38,6.42,1.84,1.24,1.84,2.18
2011,Taylor Pyatt,PHX,L,73,899.2,12.317808219178,0.6,0.67,0.33,0.33,1.27,61.29,7.41,8.11,0.77,12.08,9.61,7.94,4,0.4,0.73,1.53,0.67,0.6,0.07,0,0.8,0.53,0.93,9.14,8.87,1.33,0.4,0.33,3.64
2011,Teddy Purcell,T.B,L,81,1306.7,16.132098765432,1.1,1.88,1.29,0.6,2.98,69.89,6.98,15.79,0.62,12.49,9.55,6.75,2.62,0.46,0.69,0.73,0.37,0.37,0,0,0.55,1.65,1.56,0.78,3.58,0.51,0.14,0.64,0.81
2011,Teemu Hartikainen,EDM,C,17,221.2,13.011764705882,0.54,0.81,0.54,0.27,1.36,55.56,6.51,8.33,0.56,9.76,7.87,4.07,1.9,0.27,0.27,1.63,0.81,0.81,0,0,0.54,1.36,1.08,9.76,7.32,2.98,1.08,2.17,9.04
2011,Teemu Laakso,NSH,D,9,104.3,11.588888888889,0,0,0,0,0,0.00,2.3,0.00,0.12,6.33,2.88,2.3,0.58,0,0.58,4.6,2.3,2.3,0,0,0.58,3.45,0,4.03,10.35,4.03,0,0,-
2011,Teemu Selanne,ANA,R,82,1466.3333333333,17.882113821138,1.06,1.64,0.98,0.65,2.7,72.53,8.59,12.38,1.08,15.1,12.48,10.19,4.75,0.29,0.86,2.05,0.7,0.61,0,0.08,1.15,1.88,1.19,0.94,3.15,0.82,5.93,6.34,1.98
