Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2020,Scott Sabourin,TOR,R,1,4.4833333333333,4.4833333333333,40.15,13.38,75.00,40.15,13.38,75.00,0,0,-,0,0,-,0.91,1.15,44.33,0,13.38,0.00,0,13.38,0.00,0,0,-,0,0,-,0,0,-,57.99,0,100.00,0,0,-,-,-,-,0,13.38,0,80.3,-,0,13.38,0,-
2020,Sean Couturier,PHI,C,45,869.76666666667,19.328148148148,65.19,44.36,59.51,49.81,34.15,59.33,35.94,25.94,58.08,3.86,3.86,50.00,3.09,2.45,55.76,29.11,21.94,57.03,11.24,9.24,54.88,1.52,1.79,45.83,23.82,16.92,58.47,2.02,1.56,56.41,45.24,28.2,61.60,0.9,1.1,45.00,10.75,85.11,0.959,15.45,14,14.69,35.73,51.26,23.94,18.63,24.56,49.36
2020,Sean Kuraly,BOS,C,47,661.33333333333,14.070921985816,45.91,55.61,45.22,37.11,42.55,46.58,28.13,30.03,48.36,1.45,2.9,33.33,1.9,2.46,43.53,20.5,26.22,43.88,7.53,9.71,43.68,0.54,1.63,25.00,17.3,22.02,44.00,0.73,1.33,35.29,31.45,38.4,45.03,0.39,0.39,50.00,5.16,90.33,0.955,3.18,11.52,17.6,47,15.28,6.9,15.88,27.94,19.79
2020,Sean Malone,NSH,C,1,10.633333333333,10.633333333333,79,56.43,58.33,50.78,50.78,50.00,39.5,39.5,50.00,5.64,11.29,33.33,2.25,5.21,30.18,45.14,33.86,57.14,11.29,16.93,40.00,0,11.29,0.00,45.14,22.57,66.67,7.52,0,100.00,32.6,32.6,50.00,0,0,-,14.29,71.43,0.857,16.93,11.29,5.64,50.78,75.00,28.21,22.57,11.29,71.43
2020,Sean Monahan,CGY,C,50,884.41666666667,17.688333333333,60.11,47.08,56.08,47.08,36.7,56.19,33.65,27.48,55.05,3.05,2.24,57.69,3.4,2.34,59.23,29.51,22.79,56.42,12.01,9.36,56.19,1.22,1.02,54.55,23.34,17.91,56.58,1.54,1.09,58.62,39.2,29.2,57.31,0.69,0.29,70.00,9.07,91.85,1.009,16.35,10.79,8.01,40.03,67.13,28.36,14.18,14.79,65.72
2020,Sean Walker,L.A,D,47,853.9,18.168085106383,52.84,58.32,47.53,39.7,42.65,48.21,27.61,32.11,46.24,2.6,3.58,42.05,2.55,2.89,46.83,24.45,31.27,43.88,10.26,11.03,48.18,1.76,1.76,50.00,18.92,26.98,41.22,0.66,1.5,30.43,35.62,32.68,52.15,0.41,0.71,36.36,9.41,88.84,0.983,7.66,9.49,7.73,48.41,49.77,16.65,15.32,16.51,50.21
2020,Sebastian Aho,CAR,C,56,1090.35,19.470535714286,70.93,46.44,60.43,52.83,35.49,59.81,38.52,26.63,59.12,4.73,2.81,62.77,4.21,2.74,60.64,37.36,24.49,60.41,15.79,10.4,60.29,2.48,1.71,59.21,28.76,18.78,60.49,1.83,0.81,69.44,42.52,26.87,61.28,0.79,0.48,62.50,12.29,89.46,1.017,13.81,8.09,6.38,43.25,68.39,26.47,14.09,14.53,64.56
2020,Sebastian Aho,NYI,D,3,40.05,13.35,55.43,71.91,43.53,41.95,59.93,41.18,28.46,38.95,42.22,3,4.49,40.00,2.89,3.42,45.84,23.97,32.96,42.11,14.98,14.98,50.00,3,4.49,40.00,11.99,23.97,33.33,0,0,-,38.95,49.77,43.90,0,0,-,10.53,88.46,0.990,10.49,10.49,4.49,62.92,70.00,25.47,11.99,14.98,62.96
2020,Seth Jones,CBJ,D,56,1410.9,25.194642857143,52.39,56.9,47.94,40.1,43.72,47.84,30.19,32.96,47.81,2.38,3.19,42.75,2.22,2.93,43.14,22.71,26.28,46.35,8.51,11.1,43.38,1.06,1.66,39.06,18.94,20.24,48.34,0.79,1.36,36.84,36.36,38.27,48.72,0.92,0.49,65.22,7.89,90.32,0.982,11.18,14.37,10.72,31.72,51.07,23.56,19.31,20.46,53.53
2020,Shane Pinto,OTT,C,12,150.25,12.520833333333,47.12,64.29,42.29,34.34,44.33,43.65,21.16,32.75,39.26,4.39,2,68.75,3.32,2.66,55.47,22.76,25.96,46.72,8.79,10.38,45.83,2.4,0,100.00,18.64,20.77,47.30,0.53,1.06,33.33,33.46,49.03,40.56,1.15,1.73,40.00,20.75,93.90,1.147,9.18,7.59,12.38,55.91,42.59,14.38,13.18,20.77,40.91
