PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS
Mikko Rantanen,COL,19,"RW, C",Left,COL,Entry-Level,18,,3,RFA,2019,"$894,167","$1,627,500","$925,000","$832,500","$92,500","$500,000"
Dylan Strome,WSH,19,C,Left,ARI,Entry-Level,18,,3,RFA,2020,"$894,167","$3,369,167",$0,"-$92,500","$92,500",$0
Noah Juulsen,VAN,19,RD,Right,MTL,Entry-Level,18,,3,RFA,2020,"$894,167","$1,094,167",$0,"-$92,500","$92,500",$0
Robby Fabbri,DET,20,LW,Left,STL,Entry-Level,18,,3,10.2(c),2018,"$894,167","$1,106,667","$925,000","$832,500","$92,500","$212,500"
Sam Reinhart,FLA,20,RW,Right,BUF,Entry-Level,18,,3,RFA,2018,"$894,167","$3,544,167","$925,000","$832,500","$92,500","$2,650,000"
Jason Dickinson,CHI,20,"C, LW",Left,DAL,Entry-Level,19,,3,RFA,2018,"$894,167","$894,167","$925,000","$832,500","$92,500",$0
Nick Ritchie,-,20,LW,Left,ANA,Entry-Level,18,,3,RFA,2018,"$894,167","$1,627,500","$925,000","$832,500","$92,500","$850,000"
Nikolaj Ehlers,WPG,20,"RW, LW",Left,WPG,Entry-Level,18,,3,RFA,2018,"$894,167","$1,594,167","$925,000","$832,500","$92,500","$675,000"
Jared McCann,SEA,20,"C, LW",Left,VAN,Entry-Level,18,,3,RFA,2018,"$894,167","$1,106,667","$925,000","$832,500","$92,500","$212,500"
Jake Virtanen,-,19,"RW, LW",Right,VAN,Entry-Level,18,,3,RFA,2018,"$894,167","$1,744,167","$925,000","$832,500","$92,500","$850,000"
William Nylander,TOR,20,RW,Right,TOR,Entry-Level,18,,3,RFA,2018,"$894,167","$1,744,167","$925,000","$832,500","$92,500","$850,000"
Robert Hägg,ANA,21,LD,Left,PHI,Entry-Level,19,,3,RFA,2018,"$894,167","$894,167","$925,000","$832,500","$92,500",$0
Bo Horvat,NYI,21,C,Left,VAN,Entry-Level,18,,3,RFA,2017,"$894,167","$1,744,167","$832,500","$832,500",$0,"$850,000"
Adrian Kempe,LAK,19,"LW, RW",Left,LAK,Entry-Level,19,,3,RFA,2019,"$894,167","$894,167","$925,000","$832,500","$92,500",$0
Mirco Mueller,-,21,LD,Left,SJS,Entry-Level,18,,3,RFA,2017,"$894,167","$1,319,167","$832,500","$832,500",$0,"$425,000"
Henrik Samuelsson,-,22,C,Right,ARI,Entry-Level,19,,3,UFANo QO,2017,"$894,167","$1,106,667","$832,500","$832,500",$0,"$212,500"
Nikita Zadorov,VAN,21,LD/RD,Left,BUF,Entry-Level,18,,3,RFA,2017,"$894,167","$1,744,167","$832,500","$832,500",$0,"$850,000"
André Burakovsky,SEA,21,"RW, LW",Left,WSH,Entry-Level,18,,3,RFA,2017,"$894,167","$894,167","$832,500","$832,500",$0,$0
Teuvo Teräväinen,CAR,21,"LW, RW",Left,CHI,Entry-Level,19,,3,RFA,2017,"$894,167","$1,460,833","$832,500","$832,500",$0,"$850,000"
