PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage
Steven Stamkos,TBL,18,"LW, C",Right,TBL,Entry-Level,18,,3,RFA,2011,"$875,000","$3,725,000","$875,000","$787,500","$87,500","$2,850,000",2009,0.02144607843137255
David Perron,DET,20,"RW, LW",Right,STL,Entry-Level,19,,3,RFA,2010,"$875,000","$918,333","$875,000","$875,000",$0,"$10,000",2009,0.02144607843137255
Brandon Sutter,-,19,"RW, C",Right,CAR,Entry-Level,19,,3,RFA,2011,"$875,000","$1,225,000","$875,000","$787,500","$87,500","$350,000",2009,0.02144607843137255
Keaton Ellerby,-,19,D,Left,FLA,Entry-Level,20,,3,RFA,2011,"$875,000","$1,300,000","$875,000","$787,500","$87,500","$425,000",2009,0.02144607843137255
Blake Wheeler,NYR,21,RW,Right,BOS,Entry-Level,22,,2,RFA,2010,"$875,000","$2,725,000","$875,000","$787,500","$87,500","$1,850,000",2009,0.02144607843137255
Mikkel Boedker,-,18,"LW, RW",Left,ARI,Entry-Level,18,,3,RFA,2011,"$875,000","$1,725,000","$875,000","$787,500","$87,500","$850,000",2009,0.02144607843137255
Luca Sbisa,-,18,LD,Left,PHI,Entry-Level,18,,3,RFA,2011,"$875,000","$875,000","$875,000","$787,500","$87,500",$0,2009,0.02144607843137255
Ben Clymer,-,30,D,Right,WSH,Standard (1-way),28,,3,UFA,2009,"$866,667","$866,667","$925,000","$925,000",$0,$0,2009,0.021241838235294117
Stephane Veilleux,-,26,LW,Left,MIN,Standard (1-way),26,,1,UFA,2009,"$862,500","$862,500","$862,500","$862,500",$0,$0,2009,0.021139705882352942
Sean Bergenheim,-,24,LW,Left,NYI,Standard (1-way),24,,2,RFA,2010,"$862,500","$862,500","$800,000","$800,000",$0,$0,2009,0.021139705882352942
Boris Valabik,-,22,LD,Left,ATL,Entry-Level,20,,3,RFA,2009,"$858,333","$858,333","$925,000","$700,000","$225,000",$0,2009,0.021037573529411765
Francois Bouchard,-,20,RW,Left,WSH,Entry-Level,20,,3,RFA,2011,"$850,000","$850,000","$850,000","$765,000","$85,000",$0,2009,0.020833333333333332
Brian Lee,-,21,D,Right,OTT,Entry-Level,20,,3,RFA,2010,"$850,000","$1,275,000","$850,000","$765,000","$85,000","$425,000",2009,0.020833333333333332
Matt Pelech,-,20,D,Right,CGY,Entry-Level,20,,3,RFA,2010,"$850,000","$850,000","$850,000","$850,000",$0,$0,2009,0.020833333333333332
Vladimir Mihalik,-,21,D,Left,TBL,Entry-Level,20,,3,RFA,2010,"$850,000","$850,000","$850,000","$850,000",$0,$0,2009,0.020833333333333332
Enver Lisin,-,22,RW,Left,ARI,Entry-Level,20,,3,RFA,2009,"$850,000","$850,000","$850,000","$750,000","$100,000",$0,2009,0.020833333333333332
