PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage,Y_Salary_Cap
Martin Erat,-,27,RW,Left,NSH,Standard (1-way),26,NMC,7,UFA,2015,"$4,500,000","$4,500,000","$5,250,000","$5,250,000",$0,$0,2009-10,0.07922535211267606,56800000
Rick DiPietro,-,27,G,Right,NYI,Standard (1-way),24,,15,UFA,2021,"$4,500,000","$4,500,000","$4,500,000","$4,500,000",$0,$0,2009-10,0.07922535211267606,56800000
David Legwand,-,28,"C, LW",Left,NSH,Standard (1-way),27,NTC,6,UFA,2014,"$4,500,000","$4,500,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.07922535211267606,56800000
Milan Michalek,-,24,"LW, RW",Left,SJS,Standard (1-way),22,,6,UFA,2014,"$4,333,333","$4,333,333","$3,500,000","$3,500,000",$0,$0,2009-10,0.07629107394366197,56800000
Mike Komisarek,-,27,RD,Right,TOR,Standard (1-way),27,,5,UFA,2014,"$4,300,000","$4,300,000","$3,500,000","$3,000,000","$500,000",$0,2009-10,0.07570422535211267,56800000
Dustin Penner,-,26,RW,Left,EDM,Standard (1-way),24,,5,UFA,2012,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0,2009-10,0.07482394366197183,56800000
Tomas Kaberle,-,31,D,Left,TOR,Standard (1-way),27,NTC,5,UFA,2011,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0,2009-10,0.07482394366197183,56800000
Martin Havlat,-,28,LW,Left,MIN,Standard (1-way),28,,6,UFA,2015,"$4,250,000","$4,250,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.07482394366197183,56800000
Joffrey Lupul,-,25,"LW, RW",Right,PHI,Standard (1-way),25,,4,UFA,2013,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0,2009-10,0.07482394366197183,56800000
David Booth,-,24,LW,Left,FLA,Standard (1-way),24,,6,UFA,2015,"$4,250,000","$4,250,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.07482394366197183,56800000
Ilya Bryzgalov,-,29,G,Left,ARI,Standard (1-way),27,,3,UFA,2011,"$4,250,000","$4,250,000","$4,250,000","$4,250,000",$0,$0,2009-10,0.07482394366197183,56800000
Eric Brewer,-,30,D,Left,STL,Standard (1-way),27,NTC,4,UFA,2011,"$4,250,000","$4,250,000","$4,500,000","$4,500,000",$0,$0,2009-10,0.07482394366197183,56800000
John-Michael Liles,-,28,LD,Left,COL,Standard (1-way),27,M-NTC,4,UFA,2012,"$4,200,000","$4,200,000","$4,125,000","$4,125,000",$0,$0,2009-10,0.07394366197183098,56800000
Mike Fisher,-,29,C,Right,OTT,Standard (1-way),27,NTC,5,UFA,2013,"$4,200,000","$4,200,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.07394366197183098,56800000
